Ward name,New code,Population density (persons per sq km) - 2013,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (£) - 2014,Average GCSE capped point scores - 2014,A-Level Average Point Score Per Student - 2013/14,"Deliberate Fires per 1,000 population - 2014"
Harrow - Queensbury,E05000299,"7,688",5490,68.1,"£390,000",332,727.8,n/a
Harrow - Rayners Lane,E05000300,"7,600",5206,71.5,"£380,000",350,751.2,0.4
Harrow - Roxbourne,E05000301,"8,733",5469,64.8,"£290,000",321,685.4,0.3
Harrow - Roxeth,E05000302,"7,469",5288,68.6,"£355,000",335,669.5,0.2
Harrow - Stanmore Park,E05000303,"2,544",4637,68.6,"£555,000",313,736.6,0.2
Harrow - Wealdstone,E05000304,"9,708",4869,65.1,"£310,000",315,676.4,0.3
Harrow - West Harrow,E05000305,"7,067",4949,71.5,"£363,500",357,728.5,0.4
Havering - Brooklands,E05000306,"3,786",7118,72.7,"£207,500",307,648,0.9
Havering - Cranham,E05000307,"1,902",5608,75.6,"£320,000",337,733.7,0.5
Havering - Elm Park,E05000308,"3,392",5738,73.4,"£250,000",322,664.1,0.8
Havering - Emerson Park,E05000309,"2,609",5549,74.3,"£365,000",352,762.9,0.2
Havering - Gooshays,E05000310,"1,917",5909,63,"£229,000",284,564.6,1.9
Havering - Hacton,E05000311,"4,960",5919,75.7,"£296,500",341,701.2,0.2
Havering - Harold Wood,E05000312,"1,730",5946,72.2,"£250,000",292,628.7,0.6
Havering - Havering Park,E05000313,"1,327",5645,69.1,"£250,000",291,609,1.1
Havering - Heaton,E05000314,"3,779",4946,64.3,"£217,000",298,509.6,1.9
Havering - Hylands,E05000315,"4,500",6483,75.6,"£275,000",341,660.3,0.5
Havering - Mawneys,E05000316,"4,317",5907,73.2,"£250,000",313,615.8,0.4
Havering - Pettits,E05000317,"3,238",6030,74.9,"£295,000",322,647,0.2
Havering - Rainham and Wennington,E05000318,754,5738,72.4,"£240,000",304,618.4,1
Havering - Romford Town,E05000319,"5,931",8096,74.4,"£225,000",314,645.1,0.8
Havering - St. Andrew's,E05000320,"4,982",6366,76.1,"£272,500",328,647.2,0.7
Havering - South Hornchurch,E05000321,"2,199",5953,70.5,"£242,000",305,657,0.9
